DOMAIN;INCLUDE_EXCLUDE;FIELD;Query;Result_Counts
Method;INCLUDE;Title/Abstract;"""G-estimation""[Title/Abstract]";163
Method;INCLUDE;Title/Abstract;"""G-formula*""[Title/Abstract]";374
Method;INCLUDE;Title/Abstract;"""G-method*""[Title/Abstract]";690
Method;INCLUDE;Title/Abstract;"""Instrumental variable*""[Title/Abstract]";4106
Method;INCLUDE;Title/Abstract;"""Latent Profile Analysis""[Title/Abstract]";2150
Method;INCLUDE;Title/Abstract;"""Latent Structure Analysis""[Title/Abstract]";55
Method;INCLUDE;Title/Abstract;"""Latent Variable Analysis""[Title/Abstract]";125
Method;INCLUDE;Title/Abstract;"""Latent Variable Model""[Title/Abstract]";437
Method;INCLUDE;Title/Abstract;"""Linear structural relations""[Title/Abstract]";46
Method;INCLUDE;Title/Abstract;"""Marginal structural*""[Title/Abstract]";1154
Method;INCLUDE;Title/Abstract;"""Maximal ancestral""[Title/Abstract]";4
Method;INCLUDE;Title/Abstract;"""Measurement Models""[Title/Abstract]";743
Method;INCLUDE;Title/Abstract;"""Mechanistic inference""[Title/Abstract]";16
Method;INCLUDE;Title/Abstract;"""Mediation analys*""[Title/Abstract]";11189
Method;INCLUDE;Title/Abstract;"""Mendelian randomization""[Title/Abstract]";4845
Method;INCLUDE;Title/Abstract;"""Neyman-Rubin Causal Model""[Title/Abstract]";1
Method;INCLUDE;Title/Abstract;"""Partial Ancestral""[Title/Abstract]";5
Method;INCLUDE;Title/Abstract;"""Path analys*""[Title/Abstract]";9617
Method;INCLUDE;Title/Abstract;"""Path Analysis""[Title/Abstract]";7644
Method;INCLUDE;Title/Abstract;"""Potential outcome*""[Title/Abstract]";2327
Method;INCLUDE;Title/Abstract;"""Potential Outcomes Framework""[Title/Abstract]";99
Method;INCLUDE;Title/Abstract;"""Regression discontinuity design*""[Title/Abstract]";373
Method;INCLUDE;Title/Abstract;"""Rubin Causal Model""[Title/Abstract]";16
Method;INCLUDE;Title/Abstract;"""Rubin causal""[Title/Abstract]";16
Method;INCLUDE;Title/Abstract;"""Single-World Intervention Graph""[Title/Abstract]";1
Method;INCLUDE;Title/Abstract;"""Structural Causal Model*""[Title/Abstract]";39
Method;INCLUDE;Title/Abstract;"""Structural equation*""[Title/Abstract]";28647
Method;INCLUDE;Title/Abstract;"""Structural Relations""[Title/Abstract]";317
Method;INCLUDE;Title/Abstract;"""Synthetic control*""[Title/Abstract]";704
Method;INCLUDE;Title/Abstract;"""Targeted Maximum Likelihood Estimation""[Title/Abstract]";175
Method;INCLUDE;Title/Abstract;"""Two-Stage Least Squares""[Title/Abstract]";356
